Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],FWI,Riesgo
11.823,44.0,0.0,34.38895,34.321988021850586,Muy alto
11.323,49.0,0.1,32.55363,32.526042251586915,Muy alto
11.672999,44.0,0.0,33.75756,33.90817308044434,Muy alto
11.473,46.0,0.0,33.092598,33.23433706665039,Muy alto
11.523,46.0,0.0,30.244286,31.402423904418946,Alto
11.023,50.0,0.0,30.0767,30.79849892425537,Alto
11.223,46.0,0.0,28.766228,30.43615463256836,Alto
10.373,50.0,0.0,25.849905,28.045242835998536,Alto
9.523,56.0,0.0,21.313093,24.374736000061034,Alto
8.672999,62.0,0.0,18.057508,21.5293394241333,Moderado
8.422999,64.0,0.0,17.25373,20.763706588745116,Moderado
8.273,67.0,0.0,15.617529,19.34879261016846,Moderado
7.873,70.0,0.0,14.182355,18.051340579986572,Moderado
7.2229996,74.0,0.0,11.246759,15.657617042541503,Moderado
6.273,75.0,0.0,8.905908,13.986508502960206,Bajo
5.773,77.0,0.0,10.137692,14.519777927398682,Bajo
5.523,79.0,0.0,10.495713,14.502343311309815,Bajo
5.623,78.0,0.0,9.19939,13.790311431884767,Bajo
6.9729996,70.0,0.0,10.630672,15.720857040405274,Moderado
8.422999,63.0,0.0,13.1041975,18.209407161712647,Moderado
10.273,56.0,0.0,11.841756,18.31119476699829,Moderado
11.473,48.0,0.0,13.797913,20.57255969238281,Moderado
12.473,48.0,0.1,13.679999,20.54462356185913,Moderado
13.573,45.0,0.1,22.104116,26.376554985046386,Alto
12.672999,54.0,0.2,20.364674,19.15115377807617,Moderado
12.672999,55.0,0.1,20.188908,23.91996047973633,Moderado
12.073,61.0,0.5,17.643673,16.544029373168943,Moderado
11.473,64.0,0.4,15.856356,15.010197029113769,Moderado
11.323,71.0,1.2,16.343367,14.490632102966309,Bajo
11.523,73.0,0.5,13.979871,12.742140781402588,Bajo
12.073,74.0,0.3,15.137133,13.395817420959471,Bajo
12.473,71.0,0.1,21.638964,22.956196601867674,Moderado
12.373,70.0,0.0,27.238941,26.67578213500977,Alto
11.873,73.0,0.0,25.11758,24.931625793457034,Alto
11.373,75.0,0.0,22.881958,23.23188496398926,Moderado
11.073,78.0,0.0,20.056877,21.044132873535155,Moderado
10.623,79.0,0.0,18.331741,19.79354542541504,Moderado
10.023,81.0,0.0,17.418196,18.940422035217285,Moderado
9.323,80.0,0.0,15.937878,18.0714972076416,Moderado
9.023,72.0,0.0,16.87398,19.603946830749514,Moderado
8.672999,69.0,0.0,16.418526,19.647834518432617,Moderado
8.672999,69.0,0.0,15.034041,18.75622663497925,Moderado
9.172999,68.0,0.0,12.72283,17.40980637359619,Moderado
9.973,68.0,0.0,12.313894,17.184851890563966,Moderado
10.123,73.0,0.2,8.891343,9.397928974151611,Bajo
10.473,78.0,0.5,11.212135,10.319319122314454,Bajo
11.773,71.0,0.2,14.773164,13.501021472930908,Bajo
13.723,57.0,0.1,21.313093,24.458335990905763,Alto
14.223,55.0,0.0,29.574827,30.03889269256592,Alto
14.922999,53.0,0.0,32.06426,31.91168649291992,Alto
16.173,48.0,0.0,32.048088,32.5512727355957,Muy alto
16.473001,47.0,0.1,32.917862,33.243807159423824,Muy alto
16.023,50.0,0.2,31.104082,26.70013291168213,Alto
16.023,47.0,0.0,30.817343,31.86947277069092,Alto
14.273,52.0,0.0,33.221584,32.743804290771486,Muy alto
12.922999,55.0,0.0,33.35784,32.41275389099121,Muy alto
12.623,53.0,0.0,34.06521,33.08989823913574,Muy alto
11.473,57.0,0.0,31.262014,30.757441246032712,Alto
