FECHA;HORA;AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLÓGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION
2/12/2024;7;AU 25 DE MAYO;DESCENDENTE;9000;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
2/12/2024;7;AU FRONDIZI;ASCENDENTE;500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
2/12/2024;8;AU PERITO MORENO;ASCENDENTE;5500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
2/12/2024;10;AU 25 DE MAYO;ASCENDENTE;600;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
3/12/2024;8;AU FRONDIZI;ASCENDENTE;900;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
3/12/2024;19;AV. CANTILO;ASCENDENTE;7600;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;1
4/12/2024;7;AU CAMPORA;DESCENDENTE;300;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
4/12/2024;7;AV. LUGONES;DESCENDENTE;6500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
4/12/2024;10;AU 25 DE MAYO;ASCENDENTE;6000;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;2;2;0;0
4/12/2024;11;AU DELLEPIANE;DESCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
4/12/2024;12;AU ILLIA;ASCENDENTE;5300;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
4/12/2024;16;AU 25 DE MAYO;ASCENDENTE;9000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
4/12/2024;17;AU 25 DE MAYO;DESCENDENTE;7900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;1
5/12/2024;11;AU 25 DE MAYO;ASCENDENTE;9000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
5/12/2024;15;AV. LUGONES;DESCENDENTE;8700;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
5/12/2024;17;AV. CANTILO;ASCENDENTE;9400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
5/12/2024;19;AV. CANTILO;ASCENDENTE;9000;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
5/12/2024;20;AU 25 DE MAYO;DESCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
6/12/2024;9;AV. CANTILO;ASCENDENTE;10000;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
6/12/2024;13;AV. LUGONES;DESCENDENTE;8200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
7/12/2024;12;AU 25 DE MAYO;DESCENDENTE;2800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
8/12/2024;13;AU 25 DE MAYO;ASCENDENTE;9000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
8/12/2024;14;AU DELLEPIANE;ASCENDENTE;1800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
9/12/2024;7;AU FRONDIZI;ASCENDENTE;2300;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
9/12/2024;17;AV. LUGONES;DESCENDENTE;4200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
10/12/2024;17;AU 25 DE MAYO;DESCENDENTE;9200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
10/12/2024;19;AU 25 DE MAYO;DESCENDENTE;7700;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
11/12/2024;18;AV. LUGONES;DESCENDENTE;9200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
12/12/2024;7;AU PERITO MORENO;ASCENDENTE;3800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
12/12/2024;15;TRANSICION RAMAL 4;RAMAL DE INGRESO;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
12/12/2024;15;AU 25 DE MAYO;ASCENDENTE;6900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
