año;Prom Max Media;Prom Min Media;Media;Lluvia total;Dias con Nieve
2009;10;1,6;5,6;315,2;22
2010;9,4;0,9;5,6;310,1;9
2011;9,7;2,2;5,1;478,7;16
2012;10,1;1,7;5,6;357,4;18
2013;10,7;2,3;6,4;301;15
2014;10,2;2;5,9;434,7;14
2015;10,4;2;6,4;363,1;12
2016;11,2;2,4;6,8;250,4;0
2017;10,2;2,6;6,4;407;13
2018;10,5;1,3;5,8;193,5;19
2019;10,6;1,4;6;369,2;20
2020;10,7;1,5;6;285,9;15
2021;11,5;2;6,7;244,6;18
2022;10,8;1,4;6;199,9;15
