Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],Riesgo
1.373,97.0,0.1,7.5942082,Bajo
0.973,98.0,0.1,8.049845,Bajo
0.873,98.0,0.1,8.225035,Bajo
0.723,99.0,0.3,8.0899935,Bajo
0.673,98.0,0.2,7.24486,Bajo
0.623,98.0,0.1,7.5685663,Bajo
0.573,97.0,0.1,6.638072,Bajo
0.623,99.0,0.1,6.130579,Bajo
0.723,99.0,0.2,5.771239,Bajo
0.923,98.0,0.1,5.7599998,Bajo
1.073,98.0,0.1,5.7599998,Bajo
1.273,97.0,0.1,5.8603754,Bajo
1.373,97.0,0.1,6.28713,Bajo
1.273,98.0,0.2,5.1544156,Bajo
1.523,97.0,0.2,4.5536795,Bajo
2.073,96.0,0.1,3.7585104,Bajo
2.573,93.0,0.1,7.289445,Bajo
3.323,89.0,0.1,6.830519,Bajo
3.823,86.0,0.1,7.342588,Bajo
4.273,85.0,0.1,6.849467,Bajo
4.1730003,86.0,0.2,4.896529,Bajo
3.823,90.0,0.3,7.289444,Bajo
3.373,92.0,0.1,5.00128,Bajo
3.023,94.0,0.3,6.439876,Bajo
2.823,93.0,0.1,5.991594,Bajo
2.673,95.0,0.0,6.193674,Bajo
2.423,95.0,0.2,7.24486,Bajo
2.1230001,95.0,0.0,6.439876,Bajo
1.973,95.0,0.0,5.8048253,Bajo
1.923,96.0,0.0,5.904439,Bajo
1.823,96.0,0.0,5.8603754,Bajo
1.973,97.0,0.0,6.1305785,Bajo
1.873,97.0,0.1,6.1305785,Bajo
1.623,97.0,0.2,6.9153743,Bajo
1.423,97.0,0.1,5.1165614,Bajo
1.173,97.0,0.0,5.154415,Bajo
1.223,97.0,0.0,5.3517847,Bajo
1.573,97.0,0.0,6.28713,Bajo
2.073,97.0,0.1,8.049845,Bajo
2.573,96.0,0.0,8.287822,Bajo
3.023,94.0,0.1,11.525623,Bajo
3.973,87.0,0.0,14.48972,Moderado
4.773,79.0,0.1,17.651016,Moderado
5.023,79.0,0.0,17.298738,Moderado
5.2229996,77.0,0.0,16.62249,Moderado
4.6730003,80.0,0.0,15.7908325,Moderado
3.773,86.0,0.0,13.392774,Moderado
3.223,87.0,0.0,11.966954,Bajo
2.573,89.0,0.0,11.246759,Bajo
2.1729999,89.0,0.0,9.0,Bajo
1.923,92.0,0.0,9.565437,Bajo
1.723,93.0,0.0,10.182337,Bajo
1.473,94.0,0.0,9.9571085,Bajo
1.473,96.0,0.0,10.041354,Bajo
1.473,97.0,0.0,9.779817,Bajo
1.773,97.0,0.2,10.829959,Bajo
1.773,97.0,0.2,9.0645685,Bajo
2.323,96.0,0.3,9.19939,Bajo
2.723,94.0,0.3,10.44,Bajo
2.773,94.0,0.1,10.514218,Bajo
2.673,95.0,0.1,9.021574,Bajo
2.773,98.0,0.1,8.707238,Bajo
3.023,97.0,0.2,8.209263,Bajo
3.423,97.0,0.1,8.427383,Bajo
3.873,95.0,0.1,9.659814,Bajo
4.273,94.0,0.0,10.495713,Bajo
4.573,91.0,0.2,12.738099,Bajo
4.6730003,89.0,0.4,13.004922,Bajo
4.023,89.0,0.9,14.4,Bajo
3.823,90.0,0.4,12.738099,Bajo
3.623,91.0,0.6,13.513193,Bajo
3.473,93.0,0.6,13.551501,Bajo
3.273,94.0,0.5,13.104198,Bajo
2.923,96.0,0.6,11.119281,Bajo
2.773,97.0,0.2,9.360001,Bajo
2.773,98.0,0.1,8.707237,Bajo
2.773,99.0,0.0,7.172949,Bajo
2.723,99.0,0.0,7.072878,Bajo
2.673,99.0,0.1,6.130579,Bajo
2.523,100.0,0.0,5.5887027,Bajo
2.423,100.0,0.0,4.2136917,Bajo
2.273,100.0,0.0,3.096837,Bajo
2.1230001,100.0,0.2,2.5959969,Bajo
2.023,100.0,0.2,1.484318,Bajo
1.773,100.0,0.1,2.0991426,Bajo
1.573,100.0,0.0,1.835647,Bajo
1.623,100.0,0.1,2.52,Bajo
2.073,97.0,0.1,4.68,Bajo
2.473,94.0,0.1,7.928178,Bajo
3.573,85.0,0.1,10.464798,Bajo
4.273,80.0,0.0,11.013882,Bajo
4.323,82.0,0.0,10.853866,Bajo
4.223,83.0,0.0,12.371645,Moderado
3.873,85.0,0.1,12.324414,Bajo
3.173,89.0,0.0,10.495713,Bajo
2.273,92.0,0.0,11.183201,Bajo
1.573,88.0,0.0,13.679999,Moderado
0.773,84.0,0.0,16.923828,Moderado
0.223,81.0,0.0,19.134262,Moderado
-0.37699997,80.0,0.0,18.359999,Moderado
-0.977,79.0,0.0,18.532133,Moderado
-1.377,83.0,0.0,15.542662,Moderado
-1.427,85.0,0.0,13.450708,Moderado
-0.92700005,85.0,0.0,12.979984,Moderado
-0.627,85.0,0.0,14.689589,Moderado
-0.277,87.0,0.0,18.079027,Moderado
-0.17699999,86.0,0.0,18.775301,Moderado
-0.227,78.0,0.0,19.245697,Moderado
-0.627,76.0,0.0,18.775301,Moderado
-1.277,82.0,0.0,16.93531,Moderado
-0.77699995,80.0,0.0,17.057314,Moderado
0.523,74.0,0.0,19.201874,Moderado
1.623,64.0,0.0,23.0653,Alto
2.273,57.0,0.0,23.266697,Alto
2.523,55.0,0.0,24.031178,Alto
2.673,55.0,0.0,25.050413,Alto
2.523,53.0,0.0,25.277023,Alto
1.723,62.0,0.0,20.991426,Moderado
1.023,70.0,0.0,16.343367,Moderado
0.423,76.0,0.0,13.570615,Moderado
0.073,80.0,0.0,12.413477,Moderado
-0.127,84.0,0.0,13.979872,Moderado
0.17300001,86.0,0.0,17.709658,Moderado
0.573,88.0,0.0,20.268991,Moderado
0.773,85.0,0.0,19.255793,Moderado
0.973,86.0,0.0,22.38378,Moderado
1.173,86.0,0.0,24.33664,Moderado
1.373,85.0,0.0,27.598173,Alto
1.373,88.0,0.1,26.089447,Moderado
1.573,88.0,0.1,27.416782,Alto
1.623,89.0,0.2,26.64,Moderado
1.223,93.0,0.8,23.34455,Moderado
1.573,78.0,0.0,26.727423,Alto
2.023,82.0,0.0,29.195534,Alto
1.623,75.0,0.0,32.431984,Alto
2.023,67.0,0.0,32.335934,Alto
1.923,57.0,0.0,34.04808,Muy alto
1.773,50.0,0.0,34.145008,Muy alto
1.423,49.0,0.0,34.651752,Muy alto
0.623,49.0,0.0,36.869694,Muy alto
0.273,50.0,0.0,36.233246,Muy alto
-0.32700002,52.0,0.0,35.127216,Muy alto
-0.92700005,55.0,0.0,32.427986,Alto
-1.777,59.0,0.0,28.236486,Alto
-2.227,61.0,0.0,25.582806,Alto
-2.577,63.0,0.0,22.608458,Moderado
-2.777,64.0,0.0,22.461807,Moderado
-2.877,66.0,0.0,22.81957,Moderado
-3.077,67.0,0.0,22.033648,Moderado
-3.127,68.0,0.0,20.892412,Moderado
-3.227,70.0,0.0,19.803272,Moderado
-3.527,74.0,0.0,17.163355,Moderado
-3.477,78.0,0.0,16.87398,Moderado
-3.377,77.0,0.0,16.700275,Moderado
-3.327,77.0,0.0,15.986595,Moderado
-3.277,76.0,0.0,16.09969,Moderado
-3.227,79.0,0.0,17.227419,Moderado
-2.827,87.0,0.0,18.430452,Moderado
-1.677,79.0,0.0,20.478907,Moderado
-0.17699999,76.0,0.0,24.648829,Moderado
0.823,66.0,0.0,27.729347,Alto
1.673,57.0,0.0,27.804028,Alto
1.473,70.0,0.0,26.693459,Alto
2.673,63.0,0.0,25.006397,Alto
2.773,65.0,0.0,23.319553,Alto
2.923,65.0,0.0,21.38897,Moderado
2.223,69.0,0.0,17.81909,Moderado
1.123,78.0,0.0,14.345898,Moderado
0.573,83.0,0.0,11.592895,Bajo
-0.477,87.0,0.0,11.753877,Bajo
-0.17699999,90.0,0.0,11.923557,Bajo
0.073,89.0,0.0,11.923557,Bajo
0.273,91.0,0.0,12.413477,Bajo
0.423,93.0,0.0,12.783802,Bajo
0.623,93.0,0.0,12.904882,Bajo
0.473,94.0,0.0,11.753876,Bajo
0.673,93.0,0.0,12.229406,Bajo
1.073,92.0,0.0,13.493999,Bajo
1.373,89.0,0.0,14.76439,Moderado
1.023,91.0,0.4,13.779114,Bajo
1.323,87.0,0.3,13.0447235,Bajo
1.873,83.0,0.5,10.30883,Bajo
2.373,81.0,0.4,10.00256,Bajo
3.073,79.0,0.2,10.163227,Bajo
4.073,74.0,0.0,10.464797,Moderado
5.123,68.0,0.0,13.0447235,Moderado
5.273,67.0,0.2,14.007655,Bajo
5.523,65.0,0.3,11.298495,Bajo
5.6730003,66.0,0.3,12.181624,Bajo
5.323,68.0,0.2,12.387348,Bajo
4.9729996,72.0,0.2,12.475961,Bajo
4.4230003,77.0,0.1,12.984975,Moderado
3.773,82.0,0.0,11.246759,Bajo
3.473,84.0,0.0,10.383987,Bajo
3.173,88.0,0.0,8.707237,Bajo
2.923,90.0,0.0,7.289445,Bajo
2.373,91.0,0.0,5.6002855,Bajo
2.023,92.0,0.0,4.510787,Bajo
2.073,91.0,0.0,3.6,Bajo
1.473,91.0,0.0,2.4149535,Bajo
1.223,91.0,0.0,3.2599385,Bajo
1.073,90.0,0.0,2.2768397,Bajo
1.073,90.0,0.0,2.0991426,Bajo
1.423,89.0,0.3,4.452954,Bajo
2.023,91.0,0.9,1.484318,Bajo
2.323,92.0,0.6,4.39436,Bajo
1.473,97.0,0.4,3.8268526,Bajo
2.023,97.0,0.2,3.219938,Bajo
3.523,93.0,0.2,2.0991426,Bajo
4.4729996,91.0,0.1,0.5091169,Bajo
5.4230003,87.0,0.0,5.5887027,Bajo
6.623,82.0,0.0,10.739833,Bajo
7.073,81.0,0.0,7.342588,Bajo
7.1730003,81.0,0.0,5.1544156,Bajo
6.323,86.0,0.0,3.5455887,Bajo
5.1730003,88.0,0.0,5.0911684,Bajo
4.7229996,89.0,0.0,4.73506,Bajo
3.423,90.0,0.0,2.9024127,Bajo
3.123,90.0,0.0,1.9386592,Bajo
2.823,90.0,0.0,2.968636,Bajo
2.473,90.0,0.0,2.968636,Bajo
2.323,91.0,0.0,3.6,Bajo
1.823,93.0,0.0,4.3498964,Bajo
0.17300001,97.0,0.0,4.73506,Bajo
0.073,96.0,0.0,5.0911684,Bajo
0.17300001,95.0,0.0,5.6920996,Bajo
0.373,95.0,0.0,5.815978,Bajo
0.573,95.0,0.0,6.28713,Bajo
0.773,95.0,0.0,6.2145634,Bajo
1.173,94.0,0.1,8.759178,Bajo
1.823,95.0,0.2,11.212135,Bajo
2.823,91.0,0.1,13.722565,Moderado
4.623,82.0,0.0,19.523155,Moderado
5.9230003,74.0,0.0,19.416653,Moderado
6.6730003,67.0,0.0,22.101183,Moderado
6.9230003,66.0,0.0,20.966715,Moderado
6.623,62.0,0.0,21.129883,Moderado
6.123,61.0,0.0,18.430452,Moderado
4.9230003,66.0,0.0,15.158522,Moderado
2.873,78.0,0.0,10.495713,Bajo
2.023,83.0,0.0,8.12197,Bajo
0.723,92.0,0.0,4.8965297,Bajo
0.17300001,95.0,0.0,4.6102495,Bajo
0.122999996,96.0,0.0,3.219938,Bajo
0.473,93.0,0.0,4.1046314,Bajo
1.073,90.0,0.1,4.829907,Bajo
1.373,89.0,0.1,2.7416782,Bajo
0.773,92.0,0.0,3.9763298,Bajo
0.673,94.0,0.1,5.506941,Bajo
0.773,93.0,0.1,5.5887027,Bajo
0.873,93.0,0.1,5.3517847,Bajo
1.123,92.0,0.2,5.8048253,Bajo
0.973,93.0,0.1,5.634891,Bajo
0.723,95.0,0.1,7.42159,Bajo
1.173,94.0,0.0,8.0899935,Bajo
2.323,91.0,0.0,8.766573,Bajo
3.523,89.0,0.0,9.793058,Bajo
4.623,86.0,0.0,11.043261,Bajo
5.6730003,82.0,0.0,11.304229,Bajo
6.773,79.0,0.0,11.620809,Moderado
6.523,82.0,0.0,11.609651,Bajo
6.073,81.0,0.0,10.182337,Bajo
4.7229996,87.0,0.0,9.746631,Bajo
3.273,92.0,0.0,8.4042845,Bajo
2.223,94.0,0.0,8.217153,Bajo
1.273,96.0,0.0,6.1305785,Bajo
1.173,96.0,0.0,5.00128,Bajo
1.023,97.0,0.1,3.319036,Bajo
0.873,98.0,0.4,3.319036,Bajo
0.673,98.0,0.4,5.8048253,Bajo
0.823,97.0,0.6,6.489992,Bajo
0.373,97.0,0.0,3.9763298,Bajo
-0.127,99.0,0.0,4.5536795,Bajo
-0.577,100.0,0.0,3.7585104,Bajo
-0.92700005,100.0,0.0,4.6938252,Bajo
-1.177,99.0,0.0,6.130579,Bajo
-0.977,94.0,0.0,7.928178,Bajo
-0.677,93.0,0.0,7.208994,Bajo
0.423,90.0,0.0,6.924738,Bajo
2.423,85.0,0.0,10.483357,Bajo
4.223,79.0,0.0,19.06301,Moderado
4.9230003,72.0,0.0,21.38897,Moderado
5.523,67.0,0.0,22.42427,Moderado
5.873,60.0,0.0,22.392462,Alto
5.1730003,63.0,0.2,22.33161,Moderado
4.7229996,66.0,0.0,19.523155,Moderado
3.873,71.0,0.0,14.345898,Moderado
2.1230001,82.0,0.0,11.298495,Bajo
1.373,86.0,0.0,9.290511,Bajo
0.523,87.0,0.0,9.19939,Bajo
0.273,90.0,0.0,9.511088,Bajo
0.223,92.0,0.0,11.298495,Bajo
0.023000002,94.0,0.0,13.527572,Bajo
0.373,91.0,0.0,15.7908325,Moderado
0.873,88.0,0.0,18.837322,Moderado
1.073,88.0,0.0,19.995398,Moderado
1.023,88.0,0.0,19.64228,Moderado
0.923,85.0,0.0,18.218275,Moderado
0.923,84.0,0.0,18.892282,Moderado
1.123,84.0,0.0,20.46941,Moderado
1.273,82.0,0.0,21.67786,Moderado
1.473,85.0,0.0,19.67195,Moderado
2.273,81.0,0.0,21.30093,Moderado
3.273,76.0,0.0,24.795612,Moderado
4.223,69.0,0.0,24.162947,Alto
4.623,66.0,0.0,23.828083,Alto
4.7229996,67.0,0.0,23.090569,Moderado
4.523,67.0,0.1,24.696102,Alto
4.4729996,68.0,0.0,21.479664,Moderado
4.223,68.0,0.0,17.610588,Moderado
3.423,73.0,0.0,12.229406,Moderado
2.223,82.0,0.0,7.289445,Bajo
1.373,87.0,0.0,5.0911684,Bajo
0.573,92.0,0.0,4.32,Bajo
0.122999996,95.0,0.0,5.0911684,Bajo
-0.227,95.0,0.0,5.506941,Bajo
-0.37699997,94.0,0.0,5.4477882,Bajo
-0.677,93.0,0.0,5.3517847,Bajo
-1.127,94.0,0.0,5.2416787,Bajo
-2.477,96.0,0.0,5.5887027,Bajo
-2.777,97.0,0.0,5.0528407,Bajo
-3.077,98.0,0.0,4.802999,Bajo
-3.327,99.0,0.0,4.896529,Bajo
-3.527,100.0,0.0,4.896529,Bajo
-3.577,99.0,0.0,4.73506,Bajo
-3.7770002,99.0,0.0,4.379589,Bajo
-2.327,94.0,0.0,5.4119864,Bajo
1.023,78.0,0.0,8.647496,Bajo
3.323,70.0,0.0,15.39184,Moderado
4.4729996,61.0,0.0,19.721298,Moderado
4.9729996,56.0,0.0,22.66857,Alto
4.7229996,58.0,0.0,23.110205,Alto
4.373,55.0,0.0,24.248613,Alto
3.723,55.0,0.0,23.565567,Alto
2.673,59.0,0.0,20.431387,Moderado
1.473,66.0,0.0,17.015474,Moderado
0.623,73.0,0.0,15.905319,Moderado
0.073,79.0,0.0,16.700275,Moderado
-0.227,82.0,0.0,16.394829,Moderado
-0.477,84.0,0.0,16.394829,Moderado
-0.627,84.0,0.0,16.454008,Moderado
-0.77699995,85.0,0.0,16.520823,Moderado
-0.877,85.0,0.0,16.520823,Moderado
-1.477,86.0,0.0,14.494192,Moderado
-1.477,86.0,0.0,14.264361,Moderado
-1.627,88.0,0.0,13.849476,Moderado
-1.727,89.0,0.0,13.441071,Bajo
-1.777,89.0,0.0,12.371645,Bajo
-1.627,89.0,0.0,12.015589,Bajo
-1.227,90.0,0.0,11.525623,Bajo
-0.227,85.0,0.0,11.367109,Bajo
1.473,78.0,0.0,13.441071,Moderado
2.923,73.0,0.0,15.986595,Moderado
4.073,63.0,0.0,17.309973,Moderado
4.373,61.0,0.0,18.792551,Moderado
4.623,56.0,0.0,22.057161,Alto
4.323,55.0,0.0,20.94507,Alto
3.723,57.0,0.0,19.652176,Moderado
2.923,61.0,0.0,16.746773,Moderado
1.573,69.0,0.0,12.522619,Moderado
0.523,76.0,0.0,10.661107,Bajo
-0.07699999,78.0,0.0,13.441071,Moderado
-0.477,79.0,0.0,13.708391,Moderado
-0.827,82.0,0.0,12.641076,Moderado
-1.127,79.0,0.0,11.165805,Bajo
-1.277,74.0,0.0,9.6932955,Bajo
-1.627,74.0,0.0,9.114471,Bajo
-2.577,80.0,0.0,7.92,Bajo
-2.877,83.0,0.0,7.928178,Bajo
-3.027,86.0,0.0,7.9932976,Bajo
-3.177,88.0,0.0,7.6367526,Bajo
-3.277,89.0,0.0,7.9932976,Bajo
-3.327,89.0,0.0,7.9932976,Bajo
-3.027,86.0,0.0,7.5685663,Bajo
-1.227,79.0,0.0,9.422101,Bajo
0.873,71.0,0.0,12.57426,Moderado
2.273,61.0,0.0,16.179987,Moderado
2.873,56.0,0.0,16.263872,Moderado
3.423,50.0,0.0,16.516901,Moderado
3.723,50.0,0.0,20.176065,Alto
3.573,49.0,0.0,21.288757,Alto
3.073,49.0,0.0,22.768398,Alto
2.1230001,57.0,0.0,21.41319,Moderado
1.023,62.0,0.0,19.416653,Moderado
0.273,63.0,0.0,16.75064,Moderado
-0.477,73.0,0.0,14.77755,Moderado
-0.92700005,78.0,0.0,15.226764,Moderado
-1.027,87.0,0.0,15.941944,Moderado
-0.977,78.0,0.0,15.905319,Moderado
-1.377,79.0,0.0,15.328561,Moderado
-1.627,83.0,0.0,16.454008,Moderado
-1.577,85.0,0.0,17.377226,Moderado
-1.577,86.0,0.0,16.87398,Moderado
-1.427,86.0,0.0,15.683776,Moderado
-1.227,85.0,0.0,15.986595,Moderado
-0.92700005,81.0,0.0,18.03237,Moderado
-0.977,73.0,0.0,16.62249,Moderado
-0.877,77.0,0.0,16.454008,Moderado
0.273,75.0,0.0,18.486622,Moderado
1.973,69.0,0.0,21.602999,Moderado
3.173,62.0,0.0,23.023119,Alto
3.873,55.0,0.0,22.206486,Alto
4.4230003,52.0,0.0,21.868332,Alto
4.823,48.0,0.0,23.933907,Alto
4.623,50.0,0.0,22.73707,Alto
4.073,52.0,0.0,20.774214,Alto
3.173,57.0,0.0,17.477621,Moderado
1.723,66.0,0.0,11.119281,Moderado
0.673,73.0,0.0,7.172949,Bajo
-0.227,75.0,0.0,6.5693827,Bajo
-0.877,79.0,0.0,5.4119864,Bajo
-1.277,81.0,0.0,2.9024127,Bajo
-1.477,82.0,0.0,0.71999997,Bajo
-1.8770001,84.0,0.0,0.35999998,Bajo
-2.327,86.0,0.0,1.0182338,Bajo
-3.227,92.0,0.0,1.9386592,Bajo
-3.327,93.0,0.0,2.6208394,Bajo
-3.377,94.0,0.0,2.2768397,Bajo
-3.277,94.0,0.0,1.835647,Bajo
-3.227,93.0,0.0,1.484318,Bajo
-3.227,93.0,0.0,1.8,Bajo
-3.627,94.0,0.0,2.8799999,Bajo
-2.627,91.0,0.0,1.835647,Bajo
-0.17699999,77.0,0.0,2.5455842,Bajo
1.523,70.0,0.0,2.1897945,Bajo
2.823,60.0,0.0,2.5455842,Bajo
3.673,51.0,0.0,2.7416782,Bajo
4.1730003,52.0,0.0,4.0249224,Bajo
4.273,52.0,0.0,4.0249224,Bajo
4.023,53.0,0.0,3.8939953,Bajo
3.373,58.0,0.0,5.0911684,Bajo
1.873,68.0,0.0,5.4477882,Bajo
1.023,75.0,0.0,6.6185193,Bajo
0.623,86.0,0.0,8.942214,Bajo
0.122999996,87.0,0.0,6.3690495,Bajo
-0.527,89.0,0.0,5.1919937,Bajo
-0.877,92.0,0.0,5.2416787,Bajo
-1.077,95.0,0.0,5.0528407,Bajo
-1.527,97.0,0.0,5.4477882,Bajo
-1.527,98.0,0.0,6.0347,Bajo
-1.527,98.0,0.0,5.95906,Bajo
-1.627,98.0,0.0,5.506941,Bajo
-1.577,97.0,0.0,5.4477882,Bajo
-1.627,97.0,0.0,6.0347,Bajo
-1.777,97.0,0.0,6.6185193,Bajo
-1.027,94.0,0.0,9.028754,Bajo
0.473,86.0,0.0,10.182337,Bajo
1.973,79.0,0.0,13.75558,Moderado
3.223,76.0,0.0,17.193533,Moderado
3.873,71.0,0.1,19.881649,Moderado
4.7229996,62.0,0.0,23.188583,Alto
4.273,65.0,0.0,24.514387,Alto
3.873,68.0,0.0,23.893261,Alto
3.423,71.0,0.0,22.476227,Moderado
2.923,75.0,0.0,19.376562,Moderado
1.923,79.0,0.0,14.76439,Moderado
1.173,85.0,0.0,11.269782,Bajo
0.723,93.0,0.0,11.440978,Bajo
0.523,93.0,0.0,10.1376915,Bajo
0.673,92.0,0.0,12.758432,Bajo
0.673,93.0,0.2,13.708391,Bajo
0.623,95.0,0.2,14.561099,Bajo
0.773,96.0,0.1,14.404499,Bajo
1.423,96.0,0.1,17.581125,Moderado
1.073,98.0,0.2,18.0036,Bajo
0.773,99.0,0.2,16.75064,Bajo
0.823,99.0,0.3,15.827721,Bajo
0.873,98.0,0.4,15.042659,Bajo
0.923,98.0,0.5,14.372974,Bajo
0.973,99.0,0.6,15.137133,Bajo
1.523,98.0,0.5,14.24163,Bajo
2.573,94.0,0.4,14.799459,Bajo
3.473,91.0,0.4,16.62249,Bajo
4.023,88.0,0.3,16.299694,Bajo
4.6730003,85.0,0.3,16.299694,Bajo
4.6730003,87.0,0.2,14.440443,Bajo
4.623,86.0,0.2,13.679999,Bajo
4.323,88.0,0.1,11.720751,Bajo
4.073,90.0,0.0,9.983106,Bajo
3.623,93.0,0.0,8.435069,Bajo
3.173,93.0,0.0,6.9153743,Bajo
2.873,94.0,0.0,7.7043357,Bajo
2.723,93.0,0.0,6.6087217,Bajo
2.373,94.0,0.0,4.802999,Bajo
1.873,95.0,0.0,4.1046314,Bajo
1.123,98.0,0.0,4.379589,Bajo
0.873,98.0,0.0,5.04,Bajo
1.123,96.0,0.0,5.7599998,Bajo
0.773,96.0,0.0,6.12,Bajo
0.473,97.0,0.0,6.162207,Bajo
0.17300001,98.0,0.0,6.12,Bajo
-0.17699999,100.0,0.0,6.12,Bajo
-0.37699997,99.0,0.0,6.12,Bajo
-0.07699999,99.0,0.0,6.130579,Bajo
1.373,95.0,0.0,5.4119864,Bajo
3.573,87.0,0.0,7.208994,Bajo
5.4230003,78.0,0.0,10.24578,Bajo
6.4230003,75.0,0.0,9.339208,Bajo
7.073,70.0,0.0,8.373386,Bajo
7.523,67.0,0.0,7.8625183,Bajo
7.7229996,64.0,0.0,7.754637,Bajo
7.573,65.0,0.0,6.6185193,Bajo
6.823,72.0,0.0,4.5536795,Bajo
5.073,82.0,0.0,2.8799999,Bajo
3.173,88.0,0.0,3.6179552,Bajo
1.823,91.0,0.0,3.2399998,Bajo
0.523,97.0,0.0,2.968636,Bajo
-0.227,100.0,0.0,2.4149535,Bajo
-0.427,99.0,0.0,2.4149535,Bajo
-0.727,100.0,0.0,1.609969,Bajo
-1.077,100.0,0.0,1.835647,Bajo
-1.327,100.0,0.0,1.8,Bajo
-1.8269999,100.0,0.0,2.4149535,Bajo
-1.8770001,100.0,0.0,2.8116899,Bajo
-1.427,100.0,0.0,3.7585104,Bajo
-1.077,100.0,0.0,3.671294,Bajo
-0.977,100.0,0.0,5.04,Bajo
-0.727,100.0,0.0,6.638072,Bajo
-0.427,100.0,0.0,6.162207,Bajo
-0.02700001,100.0,0.0,7.5685663,Bajo
0.273,100.0,0.0,8.4042845,Bajo
0.873,99.0,0.0,8.4042845,Bajo
1.823,96.0,0.0,9.6932955,Bajo
2.073,94.0,0.0,8.654986,Bajo
2.373,93.0,0.0,9.028754,Bajo
2.523,93.0,0.0,9.339208,Bajo
2.773,93.0,0.0,9.504273,Bajo
2.523,93.0,0.0,8.557102,Bajo
2.073,94.0,0.0,9.511088,Bajo
1.273,97.0,0.0,11.269782,Bajo
1.123,96.0,0.0,10.163227,Bajo
1.173,95.0,0.0,10.163227,Bajo
1.073,96.0,0.0,7.289444,Bajo
0.973,96.0,0.0,7.386582,Bajo
0.923,96.0,0.0,7.2,Bajo
0.973,96.0,0.0,7.2,Bajo
0.923,97.0,0.1,6.6087217,Bajo
0.973,98.0,0.0,6.489992,Bajo
1.123,98.0,0.0,6.162207,Bajo
1.223,98.0,0.0,6.162207,Bajo
1.223,98.0,0.0,6.28713,Bajo
1.523,98.0,0.0,6.9899354,Bajo
2.073,96.0,0.0,9.114471,Bajo
2.773,94.0,0.0,10.440001,Bajo
3.173,92.0,0.0,12.287555,Bajo
3.673,88.0,0.1,14.578888,Moderado
3.873,87.0,0.1,14.658676,Moderado
4.273,87.0,0.2,16.299694,Bajo
4.223,86.0,0.3,16.199999,Bajo
3.923,88.0,0.5,15.530151,Bajo
3.373,90.0,0.5,11.885453,Bajo
2.873,93.0,0.5,9.449572,Bajo
2.623,95.0,0.6,9.6932955,Bajo
2.323,95.0,0.6,11.013882,Bajo
2.1729999,95.0,0.5,10.8955765,Bajo
2.023,96.0,0.5,11.885453,Bajo
1.823,96.0,0.6,11.928989,Bajo
1.673,97.0,0.7,11.792404,Bajo
1.423,98.0,0.7,11.27553,Bajo
0.673,99.0,0.8,10.636766,Bajo
0.623,99.0,0.4,10.630672,Bajo
0.573,99.0,0.4,10.495713,Bajo
0.573,99.0,0.4,9.290511,Bajo
0.573,99.0,0.5,7.928177,Bajo
0.473,99.0,0.5,6.618519,Bajo
0.523,100.0,0.5,6.1094027,Bajo
0.873,99.0,0.4,6.1305785,Bajo
1.773,94.0,0.2,10.44,Bajo
2.873,89.0,0.1,8.78872,Bajo
3.723,84.0,0.0,7.491114,Bajo
4.4230003,82.0,0.0,4.6102495,Bajo
4.073,81.0,0.0,8.373386,Bajo
4.4230003,81.0,0.0,5.8603754,Bajo
4.4230003,82.0,0.0,4.3349743,Bajo
4.373,85.0,0.0,3.2599385,Bajo
3.323,90.0,0.0,3.096837,Bajo
1.473,95.0,0.0,4.198285,Bajo
1.873,91.0,0.0,1.1384199,Bajo
1.573,92.0,0.0,2.16,Bajo
0.973,95.0,0.0,1.8,Bajo
1.073,94.0,0.1,2.52,Bajo
0.973,94.0,0.0,1.8,Bajo
0.923,94.0,0.0,1.8,Bajo
0.573,95.0,0.0,1.4399999,Bajo
0.673,94.0,0.0,0.35999998,Bajo
0.673,94.0,0.0,3.219938,Bajo
0.723,94.0,0.3,3.6,Bajo
1.123,91.0,0.2,1.5273507,Bajo
1.173,90.0,0.1,1.8,Bajo
0.073,98.0,0.0,3.396233,Bajo
1.323,95.0,0.0,5.3999996,Bajo
2.873,89.0,0.0,12.224107,Bajo
3.923,86.0,0.0,19.245697,Moderado
4.9729996,80.0,0.0,23.042812,Moderado
6.123,66.0,0.0,26.27753,Alto
6.4729996,59.0,0.0,27.466372,Alto
6.623,56.0,0.0,25.772078,Alto
6.4230003,58.0,0.0,21.03152,Moderado
5.773,61.0,0.0,17.373497,Moderado
4.223,72.0,0.0,9.904906,Bajo
2.423,81.0,0.0,5.495161,Bajo
1.673,82.0,0.0,5.6920996,Bajo
1.223,82.0,0.0,5.0911684,Bajo
0.673,85.0,0.0,6.1305785,Bajo
0.373,86.0,0.0,6.6087217,Bajo
1.273,84.0,1.1,10.805999,Bajo
1.073,90.0,0.8,14.081477,Bajo
1.423,85.0,0.0,16.78156,Moderado
1.323,87.0,0.2,13.18308,Bajo
1.473,85.0,0.0,4.1046314,Bajo
1.473,83.0,0.0,3.096837,Bajo
1.223,85.0,0.0,9.387651,Bajo
0.973,92.0,0.0,15.978484,Moderado
2.223,82.0,0.0,19.191748,Moderado
3.173,78.0,0.0,20.966715,Moderado
4.623,67.0,0.0,27.887802,Alto
5.7229996,59.0,0.0,29.738703,Alto
