Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],Riesgo
9.323,80.0,0.0,15.937878,Moderado
9.023,72.0,0.0,16.87398,Moderado
8.672999,69.0,0.0,16.418526,Moderado
8.672999,69.0,0.0,15.034041,Moderado
9.172999,68.0,0.0,12.72283,Moderado
9.973,68.0,0.0,12.313894,Moderado
10.123,73.0,0.2,8.891343,Bajo
10.473,78.0,0.5,11.212135,Bajo
11.773,71.0,0.2,14.773164,Bajo
13.723,57.0,0.1,21.313093,Alto
14.223,55.0,0.0,29.574827,Alto
14.922999,53.0,0.0,32.06426,Alto
16.173,48.0,0.0,32.048088,Muy alto
16.473001,47.0,0.1,32.917862,Muy alto
16.023,50.0,0.2,31.104082,Alto
16.023,47.0,0.0,30.817343,Alto
14.273,52.0,0.0,33.221584,Muy alto
12.922999,55.0,0.0,33.35784,Muy alto
12.623,53.0,0.0,34.06521,Muy alto
11.473,57.0,0.0,31.262014,Alto
10.473,63.0,0.0,30.070238,Alto
9.422999,73.0,0.3,26.674032,Moderado
8.723,73.0,0.3,20.991426,Moderado
8.023,77.0,0.1,16.575644,Moderado
7.373,81.0,0.0,14.021525,Moderado
7.323,74.0,0.0,15.281989,Moderado
6.873,64.0,0.0,18.504139,Moderado
6.323,62.0,0.0,16.08761,Moderado
7.123,61.0,0.0,19.406637,Moderado
8.323,54.0,0.0,28.36471,Alto
9.473,44.0,0.0,34.32105,Muy alto
10.172999,43.0,0.0,38.175278,Muy alto
10.373,50.0,0.4,36.50052,Alto
10.573,54.0,0.7,35.069984,Alto
11.323,48.0,0.1,36.832767,Muy alto
11.773,44.0,0.0,37.066017,Muy alto
11.623,39.0,0.0,36.860905,Muy alto
10.473,45.0,0.0,34.746994,Muy alto
9.273,51.0,0.2,33.31508,Alto
8.773,53.0,0.0,30.05515,Alto
8.123,54.0,0.0,28.162956,Alto
7.773,52.0,0.0,27.021591,Alto
6.123,60.0,0.0,27.72,Alto
5.4230003,62.0,0.0,25.241108,Alto
5.023,64.0,0.0,24.933735,Alto
4.4729996,67.0,0.0,25.050413,Alto
4.1730003,68.0,0.0,23.97989,Alto
3.923,68.0,0.0,21.218632,Moderado
3.723,73.0,0.0,18.532133,Moderado
3.873,71.0,0.0,17.873556,Moderado
4.123,74.0,0.0,19.469976,Moderado
4.4230003,76.0,0.0,21.028437,Moderado
5.6730003,70.0,0.0,28.04305,Alto
6.773,64.0,0.0,34.292717,Alto
8.273,55.0,0.0,37.503983,Muy alto
9.172999,51.0,0.0,39.64906,Muy alto
10.023,47.0,0.0,42.12154,Muy alto
10.573,48.0,0.0,42.015255,Muy alto
11.223,49.0,0.1,43.952446,Muy alto
10.373,55.0,0.1,43.6551,Muy alto
11.422999,51.0,0.2,45.66469,Muy alto
11.073,54.0,0.1,45.725666,Muy alto
11.223,53.0,0.0,43.118923,Muy alto
11.073,53.0,0.0,43.17149,Muy alto
10.023,57.0,0.0,41.71342,Muy alto
9.223,58.0,0.0,38.344646,Muy alto
8.573,63.0,0.0,38.526726,Muy alto
8.023,65.0,0.1,37.600616,Muy alto
7.9729996,60.0,0.0,36.61573,Muy alto
7.623,63.0,0.1,33.851486,Alto
7.123,68.0,0.7,34.882866,Alto
6.873,71.0,0.2,32.854805,Alto
6.9729996,65.0,0.0,30.85307,Alto
6.873,69.0,0.1,29.59235,Alto
6.9230003,71.0,0.2,28.58545,Moderado
7.073,69.0,0.1,28.1169,Alto
7.7229996,64.0,0.0,29.301876,Alto
7.873,64.0,0.3,33.626774,Alto
10.073,55.0,0.2,30.699368,Alto
10.573,52.0,0.1,34.417206,Muy alto
10.172999,57.0,0.7,37.19342,Alto
10.723,58.0,0.5,35.97299,Alto
11.273,51.0,0.2,33.481937,Alto
10.623,48.0,0.4,33.40055,Alto
11.323,40.0,0.0,36.115017,Muy alto
10.773,40.0,0.2,36.115017,Alto
10.523,39.0,0.1,36.764088,Muy alto
9.422999,42.0,0.1,36.088093,Muy alto
8.672999,46.0,0.0,34.651752,Muy alto
7.773,48.0,0.0,33.121956,Muy alto
6.373,54.0,0.0,32.04202,Alto
5.523,57.0,0.0,30.735231,Alto
5.1730003,60.0,0.0,29.237675,Alto
4.873,64.0,0.0,30.36403,Alto
4.6730003,67.0,0.0,31.427404,Alto
4.573,69.0,0.0,30.955812,Alto
5.023,72.0,0.0,28.817993,Alto
5.123,70.0,0.0,30.147717,Alto
5.2229996,70.0,0.0,30.430117,Alto
5.4729996,69.0,0.0,30.718357,Alto
6.2229996,66.0,0.0,36.93291,Muy alto
6.773,63.0,0.1,40.78182,Muy alto
8.323,56.0,0.0,37.97104,Muy alto
8.723,56.0,0.1,38.687855,Muy alto
9.672999,53.0,0.0,37.612675,Muy alto
9.873,51.0,0.0,38.2973,Muy alto
10.172999,53.0,0.1,38.268524,Muy alto
10.573,53.0,0.1,36.44722,Muy alto
10.873,51.0,0.0,38.921646,Muy alto
10.672999,54.0,0.0,35.728977,Muy alto
10.873,53.0,0.0,34.247337,Muy alto
10.573,53.0,0.0,33.510952,Muy alto
10.323,52.0,0.0,32.09052,Alto
9.922999,51.0,0.0,29.598919,Alto
9.223,52.0,0.0,27.722336,Alto
8.373,57.0,0.0,23.893261,Alto
7.773,59.0,0.0,21.434364,Alto
7.323,62.0,0.0,19.734436,Moderado
6.6730003,66.0,0.0,18.899143,Moderado
6.073,70.0,0.0,17.873554,Moderado
5.273,76.0,0.0,14.917212,Moderado
4.7229996,80.0,0.0,12.074766,Moderado
4.373,84.0,0.0,10.315115,Bajo
4.623,84.0,0.0,10.086427,Bajo
5.9729996,78.0,0.0,11.384198,Moderado
8.073,65.0,0.0,15.141414,Moderado
9.973,51.0,0.0,22.007162,Alto
11.373,45.0,0.0,22.553936,Alto
12.773,42.0,0.0,22.668568,Alto
13.922999,41.0,0.0,23.584808,Alto
14.623,39.0,0.0,23.795427,Alto
15.172999,38.0,0.0,23.087763,Alto
16.023,36.0,0.0,22.180206,Alto
16.323,38.0,0.0,21.194187,Alto
16.223,39.0,0.0,21.603,Alto
15.973,40.0,0.0,21.933426,Alto
15.672999,39.0,0.0,20.730501,Alto
14.922999,41.0,0.0,17.309973,Moderado
14.323,45.0,0.0,12.397806,Moderado
13.273,49.0,0.0,9.449572,Moderado
12.523,55.0,0.0,9.339208,Moderado
12.373,57.0,0.0,7.754637,Moderado
12.023,59.0,0.0,7.072878,Bajo
11.373,61.0,0.0,5.815978,Bajo
10.573,64.0,0.0,3.8773184,Bajo
10.073,66.0,0.0,2.16,Bajo
9.273,69.0,0.0,3.7585104,Bajo
8.723,72.0,0.0,2.4149535,Bajo
9.223,71.0,0.0,1.8,Bajo
10.922999,65.0,0.0,0.35999998,Bajo
12.623,64.0,0.0,6.9153743,Bajo
14.473,61.0,0.0,13.684735,Moderado
15.273,58.0,0.0,17.10284,Moderado
15.873,54.0,0.0,21.120682,Alto
16.773,50.0,0.0,24.967497,Alto
16.823,49.0,0.0,26.795223,Alto
17.523,49.0,0.0,28.84721,Alto
16.473001,52.0,0.0,29.627365,Alto
15.073,57.0,0.0,27.598173,Alto
15.422999,54.0,0.0,27.852928,Alto
14.823,55.0,0.0,27.534704,Alto
13.723,56.0,0.0,26.282463,Alto
12.623,65.0,0.1,29.427662,Alto
10.323,69.0,0.0,28.100763,Alto
7.373,59.0,0.0,30.659237,Alto
5.9230003,60.0,0.0,29.69727,Alto
5.4230003,62.0,0.0,28.082308,Alto
5.273,63.0,0.0,28.08923,Alto
4.523,67.0,0.0,29.16889,Alto
4.373,67.0,0.0,28.856194,Alto
4.123,69.0,0.0,28.1169,Alto
4.123,70.0,0.0,28.082308,Alto
4.823,67.0,0.0,32.169178,Alto
5.823,62.0,0.0,32.527744,Alto
6.6730003,59.0,0.0,32.846916,Alto
7.873,50.0,0.0,35.39186,Muy alto
7.9230003,55.0,0.0,33.672993,Muy alto
8.373,52.0,0.0,35.452232,Muy alto
8.723,55.0,0.1,34.828953,Muy alto
8.623,60.0,0.3,35.281837,Alto
9.123,57.0,0.2,39.609814,Alto
9.172999,58.0,0.1,36.80637,Muy alto
9.373,58.0,0.1,38.65602,Muy alto
9.223,61.0,0.1,36.0072,Muy alto
9.023,61.0,0.0,34.589985,Muy alto
8.223,65.0,0.0,34.07091,Alto
7.273,67.0,0.1,35.281837,Alto
6.4729996,73.0,0.1,32.654995,Alto
6.2229996,74.0,0.1,33.190357,Alto
6.073,73.0,0.1,32.058193,Alto
5.873,77.0,0.2,31.52005,Moderado
6.123,73.0,0.0,32.587456,Alto
5.823,74.0,0.2,31.550869,Moderado
5.823,76.0,0.2,30.222849,Moderado
6.023,76.0,0.1,29.01743,Alto
6.2229996,72.0,0.0,31.259945,Alto
