ID;Precio;Barrio;Ciudad;Mapa ubicacion;Latitud;Longitud;Ambientes;Metros²;Tipo_propiedad;Amoblado;Antigüedad;Baños;Cochera;Mascotas_permitidas;Expensas_incluidas;Fecha_publicacion;Fecha_relevamiento;Fuentes;Id_publicacion
159;790.000,00;Centro;rio grande;como llegar;-53,781866;-67,708852;3;64;Departamento;Sí;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat169
160;1.180.000,00;Chacra IV;rio grande;como llegar;-53,770687;-67,737167;4;110;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat170
161;1.260.000,00;Barrancas;rio grande;como llegar;-537,59945;-677,25922;5;155;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat171
162;520.000,00;Chacra XIII;rio grande;como llegar;-53,803898;-67,758116;2;42;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat172
163;870.000,00;Mutual;rio grande;como llegar;-53,772832;-67,710303;3;82;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat173
164;760.000,00;Centro;rio grande;como llegar;-53,782919;-67,710475;3;62;Departamento;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat174
165;940.000,00;Vapor Amadeo;rio grande;como llegar;-53,80741;-67,779938;4;90;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat175
166;690.000,00;Austral;rio grande;como llegar;-53,804677;-67,666621;2;50;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat176
167;1.380.000,00;Chacra II;rio grande;como llegar;-53,767884;-67,724551;5;125;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmob. Latitud;lat177

