AMD;temp mediaC;tempmaxC;H;M;tempminC;H;M;vientomediokm/h;dir;rfgakm/h;dir;H;M;pres.mediahPa;lluviadiariamm;radmaxW/m2;H;M;Uvmaxindex;H;M
2025  3 17;9.9;14.1;15;50;4.7;23;50;28.8;WNW;69.2;WNW;14;5;995.5;0;675;12;55;2.7;12;55
2025  3 18;7.7;12.3;12;20;2.6;3;45;22.2;N;54.7;N;15;25;1002.3;0.2;568;12;40;2.7;12;40
2025  3 19;12.4;16.1;15;0;7.7;23;40;41.7;WNW;83.7;NW;13;10;976.8;0.2;673;14;0;2.6;13;50
2025  3 20;9.3;15.6;15;5;4.8;24;0;23.2;NW;53.1;WNW;18;5;993.2;0;788;13;10;2.7;13;10
2025  3 21;6.4;11.7;14;20;2.2;6;5;25.3;W;53.1;WNW;14;20;1009.5;0;652;14;10;2.4;12;50
2025  3 22;6.8;13.1;15;5;-0.6;3;5;21.7;W;51.5;WNW;14;35;1020.2;0;582;12;40;2.5;13;0
2025  3 23;11.9;16.2;14;15;9.9;6;0;40.7;WNW;75.6;WNW;16;40;1006.8;0;649;14;10;3.4;14;10
2025  3 24;11.4;15.8;13;45;8.3;6;45;30.4;W;82.1;W;4;0;1006;0;533;13;0;2.8;13;0
2025  3 25;13.3;18.4;12;35;8.9;24;0;29.8;WNW;66;WNW;12;45;1005.2;0;650;12;35;2.6;12;30
2025  3 26;8.1;13.3;13;30;0.9;7;50;9;NNE;35.4;NNW;22;50;1004.2;0;680;13;10;3.1;13;10
2025  3 27;9.4;14.7;14;25;4.9;4;55;21.4;WNW;49.9;W;12;30;1000.5;0;664;12;35;2.4;13;5
2025  3 28;8.2;13;13;5;4.9;0;5;15.1;NW;37;W;13;40;1000.4;4.6;427;13;0;1.8;13;0
2025  3 29;4.8;10.7;16;25;0.7;8;55;15.8;WNW;43.5;WNW;13;45;998.2;0.2;603;14;20;2.1;13;5
2025  3 30;3.9;11.6;13;55;-1.6;5;20;21.2;W;66;W;15;35;994.6;0;719;13;50;2.2;13;45
2025  3 31;3.4;9.4;14;25;-2.1;8;10;18.7;W;49.9;W;11;40;1002.1;1.6;643;14;25;1.8;13;5
2025  2  1;13.3;19.4;11;50;8.7;24;0;19;NNW;54.7;NW;11;50;996.4;0;932;11;50;4.9;11;50
2025  2  2;10.3;18.1;14;0;5.6;24;0;11.6;W;48.3;WSW;14;40;986.7;2.6  1;16;14;0;5.7;14;0
2025  2  3;9.1;15.2;16;25;4.7;3;30;21.1;W;46.7;W;9;35;996;0.0  1;76;12;5;5.5;13;25
2025  2  4;9.6;15.3;15;45;5.3;1;50;24.1;WNW;49.9;WNW;13;35;1002.6;0;571;15;45;3.2;14;40
2025  2  5;10.2;16.9;13;50;4.4;3;55;13.7;N;41.8;N;15;0;995.8;0.2  1;41;13;45;6;13;45
2025  2  6;10.4;16.8;12;35;5.2;23;40;17.5;W;57.9;W;15;25;990.8;0.4;933;13;25;5.2;13;20
2025  2  7;9.6;16.3;16;50;1.5;4;15;18.5;W;49.9;WNW;13;10;1003.4;0.0  1;42;14;0;5.7;14;15
2025  2  8;9.6;16.9;13;50;1.2;6;45;19;W;53.1;WNW;13;55;1006.3;0.0  1;32;13;45;5.3;13;5
2025  2  9;10.7;17.7;16;50;3.3;6;25;19.3;NW;46.7;WNW;9;20;1002.5;0.2  1;30;13;25;5.5;13;25
2025  2 10;9.4;16.6;13;50;4.5;24;0;16.4;WSW;51.5;WSW;18;0;989.6;2.0  1;20;13;5;5.1;13;5
2025  2 11;7.1;12.2;16;35;0.3;6;25;14.6;W;43.5;SW;11;20;999.1;0;937;12;30;5;12;50
2025  2 12;9.3;16.9;18;10;2.4;6;0;12.9;W;49.9;W;19;35;1003;0.6;844;11;45;4.6;11;55
2025  2 13;12.5;18.3;13;55;8.4;6;25;34.3;W;74;W;14;5;1004.9;0.0  1;23;13;55;5.9;13;55
2025  2 14;11.3;16.6;15;25;6.1;5;30;33;W;69.2;WNW;19;15;1002.8;0;784;15;20;4.6;15;20
2025  2 15;10.9;16.1;14;30;4.5;24;0;29.3;WSW;54.7;WSW;10;40;993.8;0.4;981;14;25;4.9;12;55
2025  2 16;6.8;12.4;14;10;0.6;23;55;15.4;W;46.7;SSW;12;40;1002.7;0.0  1;4;14;5;5;13;35
2025  2 17;5.4;11.4;19;0;-3.2;5;10;14.2;NW;40.2;NNW;12;45;1006.1;3.8;334;9;55;1.9;12;35
2025  2 18;13.8;19.9;14;50;10.3;4;50;24.6;W;53.1;W;16;10;991.8;1.4  1;21;13;35;6;13;35
2025  2 19;11.7;15.7;14;0;6.2;24;0;35.2;W;74;WNW;11;15;987.8;1.8  1;32;14;0;5.4;14;0
2025  2 20;10.9;18.6;17;5;4.9;5;20;20.6;NW;46.7;W;16;15;993.3;0;714;16;35;3.7;13;50
2025  2 21;11.3;18.5;14;10;5.8;6;15;11.6;N;51.5;NW;14;5;988.9;1;912;12;25;4.5;14;5
2025  2 22;12.4;17.8;15;35;7.9;5;40;25.4;WNW;64.4;W;16;10;986.1;0;875;13;45;4.5;13;55
2025  2 23;11.6;15.8;13;15;6.5;23;40;24;NNW;62.8;NW;9;20;987.1;0;962;14;15;4.6;14;15
2025  2 24;7.8;13.2;12;15;1.9;23;5;22;W;64.4;W;17;5;985;4;840;12;30;3.8;12;30
2025  2 25;5.8;12.6;14;35;0.3;3;5;26.1;W;64.4;W;14;20;1003.5;0.2;817;14;10;3.8;14;10
2025  2 26;8.1;13.8;12;45;3.1;1;50;29;WNW;61.2;WNW;12;40;1007.1;0;956;12;25;4.9;12;45
2025  2 27;8.7;14.5;15;10;3.7;7;5;24.9;W;49.9;W;11;10;1001.6;0;969;13;55;4.4;13;55
2025  2 28;8.5;13.9;13;20;3.2;6;25;17.1;WNW;35.4;W;1;40;1001.9;3;772;15;40;3.6;13;10
2025  1  1;13.3;17.7;11;55;11.3;0;10;10.5;NNE;37;NNW;21;0;1010;0.2  1;127;11;45;8.1;13;25
